state,local,mean,,,,,,,,,,,,,,,,
Imo,Orsu,222095.0477,,,,,,,,,,,,,,,,
Imo,Oru East,273397.3517,,,,,,,,,,,,,,,,
Imo,Oru West,244718.2341,,,,,,,,,,,,,,,,
Imo,Owerri Municipal,276963.3949,,,,,,,,,,,,,,,,
Imo,Owerri North,395069.9085,,,,,,,,,,,,,,,,
Imo,Owerri West,358703.3373,,,,,,,,,,,,,,,,
Jigawa,Auyo,110535.3455,,,,,,,,,,,,,,,,
Jigawa,Babura,318938.3139,,,,,,,,,,,,,,,,
Jigawa,Biriniwa,199557.837,,,,,,,,,,,,,,,,
Jigawa,Birnin Kudu,501384.8795,,,,,,,,,,,,,,,,
Jigawa,Buji,157120.4794,,,,,,,,,,,,,,,,
Jigawa,Dutse,463492.9154,,,,,,,,,,,,,,,,
Jigawa,Gagarawa,85268.174,,,,,,,,,,,,,,,,
Jigawa,Garki,229456.0766,,,,,,,,,,,,,,,,
Jigawa,Gumel,91314.2524,,,,,,,,,,,,,,,,
Jigawa,Guri,108190.9033,,,,,,,,,,,,,,,,
Jigawa,Gwaram,427415.6828,,,,,,,,,,,,,,,,
Jigawa,Gwiwa,99626.6547,,,,,,,,,,,,,,,,
Jigawa,Hadejia,104526.0674,,,,,,,,,,,,,,,,
Jigawa,Jahun,307127.0333,,,,,,,,,,,,,,,,
Jigawa,Kafin Hausa,314482.8135,,,,,,,,,,,,,,,,
Jigawa,Kaugama,150989.9288,,,,,,,,,,,,,,,,
Jigawa,Kazaure,182651.1398,,,,,,,,,,,,,,,,
Jigawa,Kiri Kasama,171061.1375,,,,,,,,,,,,,,,,
Jigawa,Kiyawa,290124.1109,,,,,,,,,,,,,,,,
Jigawa,Maigatari,153527.7741,,,,,,,,,,,,,,,,
Jigawa,Malam Madori,202428.7714,,,,,,,,,,,,,,,,
Jigawa,Miga,157856.0054,,,,,,,,,,,,,,,,
Jigawa,Ringim,272605.9175,,,,,,,,,,,,,,,,
Jigawa,Roni,106491.6266,,,,,,,,,,,,,,,,
Jigawa,Sule Tankarkar,207110.6545,,,,,,,,,,,,,,,,
Jigawa,Taura,195141.845,,,,,,,,,,,,,,,,
